1:1	Man Pool, mi ñu tëj kaso ngir Kirist Yeesu, ak sunu mbokk Timote, noo lay bind, yaw Filemon sunu soppe ak sunu nawle ci xeex bi;
1:2	te fàttewunu sunu jigéen Afiya, ak sunu àndandoo ci xeex bi Arkib, yéen ak mbooloom ñi gëm, miy dajee sa kër.
1:3	Na leen Yàlla sunu Baay ak Boroom bi Yeesu Kirist may yiw ak jàmm.
1:4	Duma la noppee boole ci samay ñaan, di ci sant Yàlla sama Boroom,
1:5	ndaxte dégg naa sa ngëm ci Boroom bi Yeesu, ak sa mbëggeel ci gaayam yu sell yépp.
1:6	Li may ñaan nag a ngi nii: nga xam bu wér ngëneel, yi nu am yépp ci sunu bokk ci Kirist, ba tax bokk gi nga am ci Yàlla ci kaw ngëm meññ i njariñ.
1:7	Ci dëgg-dëgg sa mbëggeel bégal na ma bu baax, ba dëfël sama xol; ndaxte xam naa, sama mbokk, ni nga féexale xoli gaayi Yàlla yu sell yi.
1:8	Am na lu ma la bëgg a ñaan; teguma ko ci sañ-sañ bu mat bi ma Kirist may, ci teg la ndigalu def sa warugar,
1:9	waaye dama lay ñaan ci mbëggeel gi nu séq, man Pool màggat, mi ñu tëj kaso ci turu Kirist.
1:10	Maa ngi tinul sama doomu diine Onesim, mi ma jur ci Kirist fii ci kaso bi.
1:11	Amul woon sa njariñ démb, waaye tey amal na nu njariñ, yaw ak man.
1:12	Maa koy yebal fi yaw, waaye xamal ne, mooy sama reeni xol.
1:13	Dama koo bëggoon a téye fi sama wet, ngir mu taxawal la, di ma dimbali, li feek maa ngi ci kaso bi ngir xebaar bu baax bi.
1:14	Waaye bëggumaa def dara loo àndul; noonu ndimbal li nga may defal du nekk sañul-bañ, waaye mu ànd ak xol bu tàlli.
1:15	Xëy na sax dafa tàggoo woon ak yaw diir bu gàtt, ngir nga jotaat ci ba fàww;
1:16	waxuma léegi ni jaam rekk, waaye lu ko sut, xanaa mbokk mu dëggu ci xol, fekk looloo raw ag njaam. Mbokk la ci man, rawatina ci yaw, muy sa jaam ci aada, di sa mbokk léegi ci Boroom bi.
1:17	Soo ma jàppee ni nawle nag, teeru ko, ni su ma la doon ganesi.
1:18	Soo ko naree topp genn tooñ mbaa benn bor, topp ma ko.
1:19	Man Pool maa ngi lay bind ak sama loxob bopp ne, dinaa la ko fey; bëggumaa yegg ci ne, sag dund sax ci man la jaar!
1:20	Waaw yaw sama mbokk, dimbali ma ci Boroom bi, te seral sama xol ci sunu bokk ci Kirist.
1:21	Noonu bind naa la, ndax wóor na ma ne, dinga ma déggal, ba weesu sax li ma la sant.
1:22	Te itam nanga ma waajal néeg, ndaxte yaakaar naa ne, Yàlla dina nangu seeni ñaan, ba delloosi ma leen.
1:23	Sama mbokk Epafras, mi ma nekkal fi ci kaso bi ci turu Kirist, mu ngi lay nuyu.
1:24	Samay àndandoo ci liggéey bi, Màrk, Aristàrk, Demas ak Luug, ñu ngi lay nuyu.
1:25	Na yiwu Boroom bi Yeesu Kirist ànd ak seen xel.
