1:1	Man Pool maa lay bind, man miy jaamu Yàlla ak ndaw li Yeesu Kirist yónni, ngir xamle ngëm, gi lal yoonu ñi Yàlla tànn, tey yokk xam-xamu dëgg, giy meññ ragal Yàlla;
1:2	mu sukkandiku ci yaakaar ju dëggu, ji nu am ci dund gu dul jeex, gi Yàlla dige ba dara sosoogul, moom mi dul tebbi waxam.
1:3	Te léegi, ci jamono ji ko soob, feeñal na xebaaram boobu ci waaraate, bi ma Yàlla sunu Musalkat dénk te digal ma, ma xamle ko.
1:4	Maa ngi lay bind, Tit, yaw sama doomu diine ju wér ci ngëm, gi nu bokk nun ñépp. Na la Yàlla Baay bi ak Kirist Yeesu sunu Musalkat may yiw ak jàmm.
1:5	Bàyyi naa la ca réewu Kereet, ngir nga mottali la desoon ci liggéey bi, te samp ay njiiti mbooloo ca dëkk bu nekk, ni ma la ko sante woon.
1:6	Njiit nag nii la war a mel: war na ñàkk ŋàññ, yem ci benn soxna, am ay doom yu gëm yu amul baatu gannaaw cig yàqute mbaa déggadi.
1:7	Ndaxte kuy sàmm mbooloo mi mooy jawriñu Yàlla, kon warul am ŋàññ, walla di ku dëgër bopp mbaa ku tàng bopp; warul dib màndikat walla xeexkat mbaa ku bëgge ci alal ju lewul.
1:8	Waaye war na man gan te bëgg lu baax, di ku maandu te jub, ku sell te noot boppam.
1:9	War na jàpp ci xebaar bu dëggu, bi lal sunu yoon, ba man a dénkaane ci njàngale mu wér mi, tey yey ñi weddi.
1:10	Loolu war na, ndaxte am na ñu bare ñu déggul lenn ndigal, rawatina ci Yawut yi, ñuy yàq xeli nit ñi ak seen waxi neen.
1:11	Fàww nga wedamloo leen, ndax dañuy tas këri lëmm, ciy jàngale li warul ngir sàkku alal ju lewul.
1:12	Am na nitu Kereet, di yonent ci ñoom, mu ne: «Waa Kereet, ay fenkat lañu mas a doon, ñu soxor ni ay rabi àll, fuqle te tayel.»
1:13	Te li mu wax dëgg la. Looloo tax nga war leen a yey bu wóor ci seeni bàkkaar, ngir ñu am ngëm gu wér
1:14	te bañ a topp léebi diiney neen yu Yawut yi, mbaa tegtali nit, ñi dëddu dëgg.
1:15	Ñi sell seen lépp a sell, waaye ñi selladi te gëmadi seen dara sellul, du seeni xalaat, du seeni xel.
1:16	Dañoo mbubboo xam-xamu Yàlla, waaye seeni jëf weddi na ko; ñu sikk lañu te déggadi, ba tële ci jëf lenn lu baax.
2:1	Yaw nag nangay waare li dëppook njàngale mu wér mi.
2:2	Maanaa, na góor ñu mag ñi foog, am faayda te maandu, di ñu wér ci seen ngëm, seen mbëggeel ak seen muñ.
2:3	Jigéen ñu mag ñi itam, na seen doxalin ànd ak faayda; buñuy jëw mbaa xér ci sangara. Waaye nañuy jàngale lu baax,
2:4	bay sol ci boppu jeeg yu ndaw yi, ñu bëgg seeni jëkkër ak seeni doom,
2:5	di ñu maandu, sell te fonk seen kër, ñu neex deret te déggal seeni jëkkër, ngir kenn bañ cee gàkkal kàddug Yàlla.
2:6	Naka noonu itam nanga xiir waxambaane yi cig maandu.
2:7	Te yaw, ci lépp lu mu man a doon, nekkal ab royukaay ci jëf yu baax. Na sa njàngale wér te am faayda,
2:8	ànd ak wax yu wér yu kenn mënta diiŋat, ngir sunuy noon rus ba wedam, ci li ñu amul dara lu ñu nu tuumaal.
2:9	Waxal it jaam ñi, ñu déggal seeni sang ci lépp, te liggéeyal leen ba seral seen xol, bañ cee boole werante
2:10	mbaa sàcc. Waaye nañu wone takkute gu mat, ba rafetal ci lépp njàngalem Yàlla sunu Musalkat.
2:11	Ndaxte yiwu Yàlla feeñ na te ubbil na ñépp buntu mucc.
2:12	Moo nu digal, nu dëddu weddi ak bëgg-bëggi jamono, tey dund ci àddina cig maandu, njub ak ragal Yàlla,
2:13	di séentu bés bu tedd bi nu yaakaar, maanaa Yàlla ju màgg ji, di sunu Musalkat Yeesu Kirist, feeñ ci biir ndamam.
2:14	Joxe na bakkanam ngir nun, ba jot nu ci lépp lu bon, te beral nu boppam, di xeet wu sell te ràññiku ci jëf yu baax.
2:15	Jàngaleel loolu, di leen dénk ak a yedd ak fulla ju mat. Bu la kenn yab.
3:1	Fàttali leen ñuy déggal kilifa, yi yore nguur gi, tey jëfe seeni ndigal, ñu taxaw temm ci lépp luy jëf ju baax.
3:2	Buñu jëw kenn mbaa ñuy ŋaayoo, waaye nañu yiwe te won ñépp lewet gu mat sëkk.
3:3	Ndaxte nun itam ñu ñàkk xel lanu woon te déggadi, nu réer bay jaamu ay bëgg-bëgg ak i bànneex yu wuute, nu dëkk ci coxorte ak ñeetaange, di ñu sikk tey sikkante.
3:4	Waaye naka noona Yàlla sunu Musalkat feeñal na mbaaxam ak cofeelam,
3:5	ba musal nu; ajuwul ci jëf yu jub yu nu def, waaye ci yërmandeem rekk. Mu juddulaat nu ci laabal sunu xol, te yeesalaat nu ci dooley Xel mu Sell,
3:6	mi mu nu sotti ba mu baawaan, ci darajay Yeesu Kirist sunu Musalkat.
3:7	Ci noonu Yàlla àtte na nu jub ci kaw yiwam, te sédd nu ci dund gu dul jeex, gi nuy séentu.
3:8	Wax jooju ju wóor la, te damaa bëgg nga dëggal loolu, ngir ñi gëm Yàlla sax ci jëf lu rafet. Loolu moo baax te am njariñ ci nit.
3:9	Waaye moytul yu deme ni werantey neen ak limi maam, ay xuloo ak i xëccoo ci doxalinu yoonu Musaa, ndax loolu waxi neen la, te amul benn njariñ.
3:10	Kuy féewale, nanga ko yedd, yeddaat ko; bu tëwee, nga dàq ko,
3:11	xam ne nit ku ñaaw xel la te ay bàkkaaram fés ci ñépp.
3:12	Bu ma la yónnee Artemas walla Tisig, gaawantul fekksi ma ci dëkku Nikopolis, ndax fa laa bëgg a lollikooji.
3:13	Naka Senas àttekat bi nag ak Apolos, waajal leen bu jekk ci seen tukki, ba seen aajo yépp faju.
3:14	Na sunuy bokk it takku ci jëf yu rafet, ba man a faj aajo yépp, te bañ a yaafus.
3:15	Ñiy ànd ak man ñépp ñu ngi lay nuyu. Nuyul nu sunuy soppey ngëm. Na yiwu Yàlla ànd ak yéen ñépp.
